Instance,Configuration,Value,Time_Seconds,Feasible
instance-11.txt,STANDARD+ALPHA,911.00,10,Yes
instance-14.txt,STANDARD+ALPHA,360.00,10,Yes
instance-13.txt,STANDARD+ALPHA,390.00,10,Yes
instance-11.txt,STANDARD+ALPHA,951.00,10,Yes
instance-14.txt,STANDARD+ALPHA,394.00,10,Yes
instance-13.txt,STANDARD+ALPHA,402.00,10,Yes
instance-11.txt,STANDARD+ALPHA,900.00,10,Yes
instance-13.txt,STANDARD+ALPHA,267.00,10,Yes
instance-14.txt,STANDARD+ALPHA,586.00,10,Yes
instance-11.txt,STANDARD+ALPHA,907.00,10,Yes
instance-13.txt,STANDARD+ALPHA,529.00,10,Yes
instance-14.txt,STANDARD+ALPHA,305.00,10,Yes
instance-11.txt,STANDARD+ALPHA,3132.00,600,Yes
instance-13.txt,STANDARD+ALPHA,1435.00,600,Yes
instance-14.txt,STANDARD+ALPHA,1427.00,602,Yes
instance-11.txt,STANDARD+ALPHA,3249.00,602,Yes
instance-14.txt,STANDARD+ALPHA,1338.00,602,Yes
instance-13.txt,STANDARD+ALPHA,1251.00,603,Yes
instance-13.txt,STANDARD+ALPHA,980.00,601,Yes
instance-14.txt,STANDARD+ALPHA,1535.00,603,Yes
instance-11.txt,STANDARD+ALPHA,3077.00,603,Yes
instance-11.txt,STANDARD+ALPHA,3442.00,601,Yes
instance-14.txt,STANDARD+ALPHA,1677.00,602,Yes
instance-13.txt,STANDARD+ALPHA,1256.00,602,Yes
instance-14.txt,STANDARD+ALPHA,1634.00,600,Yes
instance-11.txt,STANDARD+ALPHA,3318.00,601,Yes
instance-13.txt,STANDARD+ALPHA,1131.00,603,Yes
instance-11.txt,STANDARD+ALPHA,2919.00,601,Yes
instance-14.txt,STANDARD+ALPHA,1654.00,603,Yes
instance-13.txt,STANDARD+ALPHA,1186.00,603,Yes
instance-13.txt,STANDARD+ALPHA,1509.00,600,Yes
instance-11.txt,STANDARD+ALPHA,3140.00,601,Yes
instance-14.txt,STANDARD+ALPHA,1497.00,603,Yes
instance-11.txt,STANDARD+ALPHA,3378.00,602,Yes
instance-13.txt,STANDARD+ALPHA,1141.00,602,Yes
instance-14.txt,STANDARD+ALPHA,1630.00,603,Yes
instance-11.txt,STANDARD+ALPHA,3321.00,600,Yes
instance-14.txt,STANDARD+ALPHA,1337.00,602,Yes
instance-13.txt,STANDARD+ALPHA,1278.00,603,Yes
instance-13.txt,STANDARD+ALPHA,980.00,603,Yes
